V1,V2,V3,V4
697,729,1426,0.511220196353436
514,540,1054,0.512333965844402
590,588,1178,0.499151103565365
521,533,1054,0.505692599620493
540,580,1120,0.517857142857143
541,575,1116,0.515232974910394
555,585,1140,0.513157894736842
925,935,1860,0.502688172043011
442,422,864,0.488425925925926
303,309,612,0.504901960784314
955,967,1922,0.50312174817898
386,406,792,0.512626262626263
957,965,1922,0.502081165452653
964,958,1922,0.49843912591051
578,600,1178,0.509337860780985
897,901,1798,0.50111234705228
951,971,1922,0.505202913631634
635,667,1302,0.512288786482335
603,637,1240,0.513709677419355
713,713,1426,0.5
519,535,1054,0.507590132827324
769,781,1550,0.503870967741936
960,962,1922,0.500520291363163
393,405,798,0.507518796992481
402,414,816,0.507352941176471
892,906,1798,0.503893214682981
958,964,1922,0.50156087408949
697,729,1426,0.511220196353436
650,650,1300,0.5
959,963,1922,0.501040582726327
954,968,1922,0.503642039542144
601,639,1240,0.515322580645161
794,818,1612,0.507444168734491
337,335,672,0.498511904761905
962,960,1922,0.499479708636837
793,819,1612,0.508064516129032
633,669,1302,0.513824884792627
474,492,966,0.509316770186335
870,870,1740,0.5
515,539,1054,0.511385199240987
505,487,992,0.490927419354839
543,561,1104,0.508152173913043
521,499,1020,0.48921568627451
716,734,1450,0.506206896551724
334,346,680,0.508823529411765
496,504,1000,0.504
672,662,1334,0.496251874062969
927,933,1860,0.501612903225806
624,664,1288,0.515527950310559
962,960,1922,0.499479708636837
832,842,1674,0.502986857825568
482,510,992,0.514112903225806
832,842,1674,0.502986857825568
741,771,1512,0.509920634920635
770,780,1550,0.503225806451613
955,967,1922,0.50312174817898
927,933,1860,0.501612903225806
699,727,1426,0.509817671809257
650,652,1302,0.500768049155146
959,963,1922,0.501040582726327
698,728,1426,0.510518934081346
454,470,924,0.508658008658009
536,518,1054,0.49146110056926
545,509,1054,0.48292220113852
925,935,1860,0.502688172043011
828,846,1674,0.505376344086022
583,595,1178,0.50509337860781
713,713,1426,0.5
955,967,1922,0.50312174817898
869,867,1736,0.499423963133641
956,966,1922,0.502601456815817
569,551,1120,0.491964285714286
566,578,1144,0.505244755244755
963,959,1922,0.498959417273673
871,865,1736,0.498271889400922
928,932,1860,0.501075268817204
965,957,1922,0.497918834547347
534,520,1054,0.493358633776091
961,961,1922,0.5
515,539,1054,0.511385199240987
961,961,1922,0.5
