V1,V2,V3,V4
1200,722,1922,0.375650364203954
1081,655,1736,0.377304147465438
760,480,1240,0.387096774193548
936,552,1488,0.370967741935484
1116,682,1798,0.379310344827586
1190,732,1922,0.380853277835588
842,522,1364,0.382697947214076
616,344,960,0.358333333333333
941,567,1508,0.375994694960212
880,546,1426,0.38288920056101
1113,685,1798,0.380978865406007
682,372,1054,0.352941176470588
688,404,1092,0.36996336996337
1184,738,1922,0.383975026014568
653,401,1054,0.380455407969639
798,504,1302,0.387096774193548
683,371,1054,0.351992409867173
1198,724,1922,0.376690946930281
890,536,1426,0.375876577840112
784,456,1240,0.367741935483871
433,247,680,0.363235294117647
820,482,1302,0.370199692780338
1205,717,1922,0.373048907388137
1198,724,1922,0.376690946930281
892,534,1426,0.374474053295933
413,235,648,0.362654320987654
1086,650,1736,0.374423963133641
576,342,918,0.372549019607843
721,431,1152,0.374131944444444
594,366,960,0.38125
1182,740,1922,0.385015608740895
1190,732,1922,0.380853277835588
865,499,1364,0.3658357771261
1032,642,1674,0.383512544802867
952,598,1550,0.385806451612903
1035,639,1674,0.381720430107527
1,1,2,0.5
684,370,1054,0.351043643263757
954,596,1550,0.384516129032258
761,479,1240,0.386290322580645
992,620,1612,0.384615384615385
655,399,1054,0.378557874762808
751,427,1178,0.362478777589134
536,304,840,0.361904761904762
756,484,1240,0.390322580645161
635,385,1020,0.377450980392157
1193,729,1922,0.379292403746098
681,373,1054,0.353889943074004
1,1,2,0.5
834,530,1364,0.388563049853372
512,270,782,0.345268542199488
781,459,1240,0.370161290322581
1067,669,1736,0.38536866359447
806,514,1320,0.389393939393939
725,453,1178,0.384550084889643
1105,693,1798,0.385428253615128
748,430,1178,0.365025466893039
687,433,1120,0.386607142857143
1199,723,1922,0.376170655567118
863,501,1364,0.367302052785924
660,394,1054,0.373814041745731
1193,729,1922,0.379292403746098
1181,741,1922,0.385535900104058
879,547,1426,0.3835904628331
880,546,1426,0.38288920056101
775,473,1248,0.37900641025641
1186,736,1922,0.382934443288241
1190,732,1922,0.380853277835588
676,416,1092,0.380952380952381
840,510,1350,0.377777777777778
959,591,1550,0.381290322580645
1187,735,1922,0.382414151925078
1207,715,1922,0.372008324661811
1191,731,1922,0.380332986472425
1,1,2,0.5
1199,723,1922,0.376170655567118
962,588,1550,0.379354838709677
1189,733,1922,0.381373569198751
891,559,1450,0.38551724137931
928,560,1488,0.376344086021505
1160,700,1860,0.376344086021505
787,515,1302,0.395545314900154
612,356,968,0.367768595041322
1189,733,1922,0.381373569198751
662,392,1054,0.371916508538899
