V1,V2,V3,V4
512,480,992,0.483870967741935
894,780,1674,0.46594982078853
550,504,1054,0.478178368121442
902,772,1674,0.461170848267622
906,768,1674,0.458781362007168
972,826,1798,0.459399332591769
1029,893,1922,0.464620187304891
768,658,1426,0.461430575035063
626,552,1178,0.468590831918506
1014,908,1922,0.472424557752341
688,614,1302,0.471582181259601
759,667,1426,0.467741935483871
815,693,1508,0.459549071618037
1023,899,1922,0.467741935483871
988,872,1860,0.468817204301075
1024,898,1922,0.467221644120708
489,439,928,0.473060344827586
769,657,1426,0.460729312762973
622,556,1178,0.471986417657046
799,689,1488,0.463037634408602
758,668,1426,0.468443197755961
540,514,1054,0.487666034155598
875,737,1612,0.457196029776675
1025,897,1922,0.466701352757544
868,744,1612,0.461538461538462
635,561,1196,0.469063545150502
552,502,1054,0.476280834914611
1021,901,1922,0.468782518210198
576,526,1102,0.477313974591652
989,871,1860,0.468279569892473
970,828,1798,0.460511679644049
1021,901,1922,0.468782518210198
959,839,1798,0.466629588431591
1028,894,1922,0.465140478668054
620,530,1150,0.460869565217391
794,694,1488,0.466397849462366
1015,907,1922,0.471904266389178
1026,896,1922,0.466181061394381
648,592,1240,0.47741935483871
311,301,612,0.491830065359477
1019,903,1922,0.469823100936524
958,840,1798,0.467185761957731
1018,904,1922,0.470343392299688
504,456,960,0.475
911,769,1680,0.457738095238095
618,560,1178,0.475382003395586
552,502,1054,0.476280834914611
1032,890,1922,0.463059313215401
764,662,1426,0.464235624123422
1020,902,1922,0.469302809573361
1031,891,1922,0.463579604578564
726,638,1364,0.467741935483871
843,707,1550,0.456129032258065
544,510,1054,0.483870967741935
897,777,1674,0.46415770609319
482,442,924,0.478354978354978
679,623,1302,0.478494623655914
866,746,1612,0.462779156327543
540,514,1054,0.487666034155598
639,561,1200,0.4675
615,563,1178,0.477928692699491
1029,893,1922,0.464620187304891
544,510,1054,0.483870967741935
943,793,1736,0.456797235023041
635,541,1176,0.460034013605442
1034,888,1922,0.462018730489074
575,541,1116,0.484767025089606
963,835,1798,0.46440489432703
843,707,1550,0.456129032258065
871,741,1612,0.459677419354839
753,673,1426,0.47194950911641
829,721,1550,0.465161290322581
403,379,782,0.484654731457801
1029,893,1922,0.464620187304891
873,739,1612,0.458436724565757
513,479,992,0.482862903225806
685,617,1302,0.473886328725038
1033,889,1922,0.462539021852237
617,561,1178,0.476230899830221
1030,892,1922,0.464099895941727
652,588,1240,0.474193548387097
