V1,V2,V3,V4
636,604,1240,0.487096774193548
800,812,1612,0.503722084367246
611,629,1240,0.507258064516129
730,696,1426,0.488078541374474
609,631,1240,0.508870967741936
954,968,1922,0.503642039542144
959,963,1922,0.501040582726327
702,662,1364,0.48533724340176
806,806,1612,0.5
957,965,1922,0.502081165452653
530,520,1050,0.495238095238095
576,544,1120,0.485714285714286
946,976,1922,0.507804370447451
869,867,1736,0.499423963133641
614,626,1240,0.504838709677419
757,731,1488,0.491263440860215
377,371,748,0.495989304812834
451,433,884,0.489819004524887
960,962,1922,0.500520291363163
960,962,1922,0.500520291363163
772,740,1512,0.489417989417989
483,509,992,0.513104838709677
926,934,1860,0.502150537634409
843,831,1674,0.496415770609319
963,959,1922,0.498959417273673
581,597,1178,0.50679117147708
837,837,1674,0.5
708,718,1426,0.503506311360449
956,966,1922,0.502601456815817
957,965,1922,0.502081165452653
520,534,1054,0.506641366223909
958,964,1922,0.50156087408949
329,317,646,0.490712074303406
645,615,1260,0.488095238095238
871,865,1736,0.498271889400922
846,834,1680,0.496428571428571
756,732,1488,0.491935483870968
714,712,1426,0.49929873772791
959,963,1922,0.501040582726327
838,836,1674,0.499402628434886
899,899,1798,0.5
581,569,1150,0.494782608695652
953,969,1922,0.504162330905307
538,516,1054,0.489563567362429
952,970,1922,0.50468262226847
689,655,1344,0.48735119047619
1,1,2,0.5
606,572,1178,0.485568760611205
696,668,1364,0.489736070381232
441,443,884,0.501131221719457
844,830,1674,0.495818399044205
696,704,1400,0.502857142857143
636,604,1240,0.487096774193548
946,976,1922,0.507804370447451
705,721,1426,0.505610098176718
790,760,1550,0.490322580645161
949,973,1922,0.506243496357961
541,513,1054,0.486717267552182
515,539,1054,0.511385199240987
517,537,1054,0.509487666034156
956,966,1922,0.502601456815817
400,382,782,0.48849104859335
878,858,1736,0.494239631336406
954,968,1922,0.503642039542144
917,943,1860,0.506989247311828
561,543,1104,0.491847826086957
591,627,1218,0.514778325123153
523,517,1040,0.497115384615385
601,577,1178,0.48981324278438
483,467,950,0.491578947368421
634,616,1250,0.4928
924,936,1860,0.503225806451613
805,807,1612,0.500620347394541
880,856,1736,0.493087557603687
955,967,1922,0.50312174817898
667,635,1302,0.487711213517665
441,439,880,0.498863636363636
960,962,1922,0.500520291363163
542,512,1054,0.485768500948767
583,595,1178,0.50509337860781
438,442,880,0.502272727272727
871,865,1736,0.498271889400922
670,694,1364,0.508797653958944
963,959,1922,0.498959417273673
584,594,1178,0.504244482173175
