V1,V2,V3,V4
881,855,1736,0.492511520737327
558,576,1134,0.507936507936508
962,960,1922,0.499479708636837
527,527,1054,0.5
671,693,1364,0.508064516129032
428,408,836,0.488038277511962
523,531,1054,0.503795066413662
963,959,1922,0.498959417273673
962,960,1922,0.499479708636837
655,647,1302,0.496927803379416
728,760,1488,0.510752688172043
785,765,1550,0.493548387096774
547,569,1116,0.509856630824373
964,958,1922,0.49843912591051
706,720,1426,0.504908835904628
870,866,1736,0.498847926267281
965,957,1922,0.497918834547347
754,758,1512,0.501322751322751
658,676,1334,0.506746626686657
531,523,1054,0.496204933586338
769,781,1550,0.503870967741936
468,450,918,0.490196078431373
960,962,1922,0.500520291363163
959,963,1922,0.501040582726327
958,964,1922,0.50156087408949
780,770,1550,0.496774193548387
1,1,2,0.5
803,809,1612,0.501861042183623
955,967,1922,0.50312174817898
640,662,1302,0.508448540706605
618,622,1240,0.501612903225806
842,832,1674,0.497013142174432
958,964,1922,0.50156087408949
773,777,1550,0.501290322580645
507,519,1026,0.505847953216374
532,522,1054,0.495256166982922
971,951,1922,0.494797086368366
956,966,1922,0.502601456815817
661,641,1302,0.492319508448541
867,869,1736,0.500576036866359
967,955,1922,0.49687825182102
782,768,1550,0.495483870967742
1,1,2,0.5
936,924,1860,0.496774193548387
621,619,1240,0.499193548387097
481,479,960,0.498958333333333
568,572,1140,0.501754385964912
866,870,1736,0.501152073732719
893,905,1798,0.503337041156841
926,934,1860,0.502150537634409
834,840,1674,0.50179211469534
766,784,1550,0.505806451612903
901,899,1800,0.499444444444444
960,962,1922,0.500520291363163
551,565,1116,0.506272401433692
964,958,1922,0.49843912591051
528,526,1054,0.499051233396584
592,586,1178,0.497453310696095
526,528,1054,0.500948766603416
590,610,1200,0.508333333333333
664,700,1364,0.513196480938416
965,957,1922,0.497918834547347
416,424,840,0.504761904761905
385,397,782,0.5076726342711
957,965,1922,0.502081165452653
475,477,952,0.501050420168067
959,963,1922,0.501040582726327
707,733,1440,0.509027777777778
658,644,1302,0.494623655913978
625,651,1276,0.510188087774295
838,836,1674,0.499402628434886
491,521,1012,0.514822134387352
682,682,1364,0.5
955,967,1922,0.50312174817898
957,965,1922,0.502081165452653
343,337,680,0.495588235294118
420,396,816,0.485294117647059
367,355,722,0.491689750692521
526,524,1050,0.499047619047619
962,960,1922,0.499479708636837
543,537,1080,0.497222222222222
960,962,1922,0.500520291363163
965,957,1922,0.497918834547347
732,724,1456,0.497252747252747
808,804,1612,0.498759305210918
589,589,1178,0.5
541,523,1064,0.491541353383459
