V1,V2,V3,V4
835,901,1736,0.519009216589862
503,551,1054,0.522770398481973
485,507,992,0.511088709677419
905,1017,1922,0.529136316337149
921,1001,1922,0.520811654526535
924,998,1922,0.519250780437045
922,1000,1922,0.520291363163371
531,585,1116,0.524193548387097
738,812,1550,0.523870967741936
921,1001,1922,0.520811654526535
783,837,1620,0.516666666666667
804,870,1674,0.519713261648746
557,621,1178,0.527164685908319
453,465,918,0.506535947712418
777,835,1612,0.517990074441687
754,796,1550,0.513548387096774
318,330,648,0.509259259259259
5,7,12,0.583333333333333
906,1016,1922,0.528616024973985
808,866,1674,0.517323775388292
914,1008,1922,0.524453694068678
843,893,1736,0.514400921658986
689,737,1426,0.516830294530154
531,585,1116,0.524193548387097
921,1001,1922,0.520811654526535
661,703,1364,0.515395894428152
606,634,1240,0.511290322580645
367,381,748,0.509358288770054
929,993,1922,0.516649323621228
923,999,1922,0.519771071800208
907,1015,1922,0.528095733610822
925,997,1922,0.518730489073881
747,803,1550,0.518064516129032
756,794,1550,0.512258064516129
515,539,1054,0.511385199240987
927,995,1922,0.517689906347555
842,894,1736,0.514976958525346
890,970,1860,0.521505376344086
927,995,1922,0.517689906347555
907,1015,1922,0.528095733610822
916,1006,1922,0.523413111342352
613,635,1248,0.508814102564103
695,731,1426,0.512622720897616
486,482,968,0.497933884297521
632,670,1302,0.514592933947773
6,6,12,0.5
919,1003,1922,0.521852237252862
713,775,1488,0.520833333333333
443,475,918,0.517429193899782
893,967,1860,0.51989247311828
657,707,1364,0.518328445747801
580,598,1178,0.507640067911715
880,980,1860,0.526881720430108
809,865,1674,0.516726403823178
633,667,1300,0.513076923076923
884,976,1860,0.524731182795699
912,1010,1922,0.525494276795005
917,1005,1922,0.522892819979188
914,1008,1922,0.524453694068678
501,553,1054,0.524667931688805
556,578,1134,0.509700176366843
906,1016,1922,0.528616024973985
807,873,1680,0.519642857142857
500,500,1000,0.5
918,1004,1922,0.522372528616025
687,739,1426,0.518232819074334
694,732,1426,0.513323983169706
577,601,1178,0.51018675721562
901,1021,1922,0.531217481789802
732,818,1550,0.527741935483871
781,831,1612,0.515508684863524
669,695,1364,0.509530791788856
677,687,1364,0.50366568914956
928,994,1922,0.517169614984391
853,945,1798,0.525583982202447
502,552,1054,0.523719165085389
768,844,1612,0.523573200992556
599,641,1240,0.516935483870968
681,745,1426,0.522440392706872
599,633,1232,0.513798701298701
388,394,782,0.50383631713555
473,519,992,0.523185483870968
630,672,1302,0.516129032258065
688,762,1450,0.52551724137931
926,996,1922,0.518210197710718
