V1,V2,V3,V4
606,448,1054,0.425047438330171
1035,825,1860,0.443548387096774
860,706,1566,0.450830140485313
699,541,1240,0.436290322580645
709,593,1302,0.455453149001536
954,782,1736,0.450460829493088
561,425,986,0.431034482758621
771,655,1426,0.459326788218794
927,747,1674,0.446236559139785
1065,857,1922,0.445889698231009
9,9,18,0.5
576,478,1054,0.453510436432638
1066,856,1922,0.445369406867846
706,596,1302,0.457757296466974
927,753,1680,0.448214285714286
989,809,1798,0.449944382647386
1065,857,1922,0.445889698231009
682,536,1218,0.440065681444992
1061,861,1922,0.447970863683663
850,700,1550,0.451612903225806
958,778,1736,0.44815668202765
667,573,1240,0.462096774193548
519,433,952,0.454831932773109
470,346,816,0.424019607843137
641,537,1178,0.455857385398981
1065,857,1922,0.445889698231009
1062,860,1922,0.4474505723205
737,627,1364,0.459677419354839
707,595,1302,0.456989247311828
762,638,1400,0.455714285714286
649,529,1178,0.449066213921902
1066,856,1922,0.445369406867846
614,520,1134,0.458553791887125
607,509,1116,0.456093189964158
851,699,1550,0.450967741935484
1057,865,1922,0.450052029136316
933,741,1674,0.442652329749104
1065,857,1922,0.445889698231009
573,481,1054,0.456356736242884
856,694,1550,0.447741935483871
405,309,714,0.432773109243697
985,813,1798,0.452169076751947
864,696,1560,0.446153846153846
818,670,1488,0.450268817204301
1073,849,1922,0.441727367325702
1,1,2,0.5
1062,860,1922,0.4474505723205
1055,867,1922,0.451092611862643
620,540,1160,0.46551724137931
802,624,1426,0.437587657784011
606,448,1054,0.425047438330171
629,523,1152,0.453993055555556
860,690,1550,0.445161290322581
1,1,2,0.5
776,650,1426,0.455820476858345
701,539,1240,0.434677419354839
601,453,1054,0.429791271347249
698,542,1240,0.437096774193548
559,491,1050,0.467619047619048
1061,861,1922,0.447970863683663
1069,853,1922,0.443808532778356
577,477,1054,0.452561669829222
853,697,1550,0.449677419354839
795,631,1426,0.44249649368864
1079,843,1922,0.438605619146722
464,372,836,0.444976076555024
951,785,1736,0.452188940092166
1058,864,1922,0.449531737773153
982,816,1798,0.453837597330367
1035,825,1860,0.443548387096774
1070,852,1922,0.443288241415193
852,698,1550,0.450322580645161
606,510,1116,0.456989247311828
1056,866,1922,0.45057232049948
517,403,920,0.43804347826087
629,487,1116,0.436379928315412
795,631,1426,0.44249649368864
1,1,2,0.5
481,419,900,0.465555555555556
1060,862,1922,0.448491155046826
733,569,1302,0.437019969278034
778,626,1404,0.445868945868946
717,617,1334,0.462518740629685
