V1,V2,V3,V4
502,542,1044,0.519157088122605
662,640,1302,0.491551459293395
682,682,1364,0.5
979,943,1922,0.490634755463059
610,622,1232,0.50487012987013
983,939,1922,0.488553590010406
823,789,1612,0.489454094292804
972,950,1922,0.494276795005203
654,634,1288,0.492236024844721
468,484,952,0.508403361344538
684,680,1364,0.498533724340176
720,706,1426,0.495091164095372
833,841,1674,0.502389486260454
397,467,864,0.540509259259259
985,937,1922,0.487513007284079
521,533,1054,0.505692599620493
974,948,1922,0.493236212278876
872,864,1736,0.497695852534562
975,947,1922,0.492715920915713
986,936,1922,0.486992715920916
862,812,1674,0.485065710872162
781,769,1550,0.496129032258065
521,537,1058,0.507561436672968
407,421,828,0.508454106280193
731,727,1458,0.498628257887517
715,711,1426,0.49859747545582
868,868,1736,0.5
593,585,1178,0.49660441426146
303,345,648,0.532407407407407
501,553,1054,0.524667931688805
532,584,1116,0.523297491039427
