V1,V2,V3,V4
792,820,1612,0.508684863523573
674,690,1364,0.505865102639296
950,972,1922,0.505723204994797
423,417,840,0.496428571428571
607,633,1240,0.510483870967742
437,427,864,0.494212962962963
958,964,1922,0.50156087408949
801,811,1612,0.503101736972705
947,975,1922,0.507284079084287
539,577,1116,0.517025089605735
890,910,1800,0.505555555555556
381,401,782,0.512787723785166
510,544,1054,0.516129032258065
929,993,1922,0.516649323621228
452,466,918,0.507625272331155
638,664,1302,0.509984639016897
950,972,1922,0.505723204994797
554,546,1100,0.496363636363636
456,496,952,0.521008403361345
512,542,1054,0.514231499051233
573,571,1144,0.499125874125874
747,753,1500,0.502
655,665,1320,0.503787878787879
572,606,1178,0.514431239388795
953,969,1922,0.504162330905307
891,907,1798,0.504449388209121
702,702,1404,0.5
