V1,V2,V3,V4
737,583,1320,0.441666666666667
722,578,1300,0.444615384615385
639,477,1116,0.42741935483871
760,604,1364,0.442815249266862
496,388,884,0.438914027149321
1062,860,1922,0.4474505723205
647,469,1116,0.420250896057348
793,571,1364,0.418621700879765
540,380,920,0.41304347826087
1073,849,1922,0.441727367325702
846,704,1550,0.454193548387097
923,751,1674,0.448626045400239
648,468,1116,0.419354838709677
923,689,1612,0.42741935483871
1098,824,1922,0.428720083246618
876,674,1550,0.434838709677419
563,389,952,0.408613445378151
996,802,1798,0.446051167964405
608,442,1050,0.420952380952381
370,242,612,0.395424836601307
1069,853,1922,0.443808532778356
633,483,1116,0.432795698924731
483,309,792,0.390151515151515
1066,856,1922,0.445369406867846
1088,834,1922,0.433922996878252
1064,858,1922,0.446409989594173
634,482,1116,0.431899641577061
1060,862,1922,0.448491155046826
