V1,V2,V3,V4
380,412,792,0.52020202020202
665,679,1344,0.505208333333333
803,809,1612,0.501861042183623
532,584,1116,0.523297491039427
534,582,1116,0.521505376344086
724,764,1488,0.513440860215054
532,512,1044,0.490421455938697
949,973,1922,0.506243496357961
949,973,1922,0.506243496357961
532,522,1054,0.495256166982922
560,556,1116,0.498207885304659
565,613,1178,0.520373514431239
536,598,1134,0.527336860670194
944,978,1922,0.508844953173777
585,611,1196,0.510869565217391
950,972,1922,0.505723204994797
429,495,924,0.535714285714286
913,947,1860,0.509139784946237
942,980,1922,0.509885535900104
954,968,1922,0.503642039542144
651,713,1364,0.522727272727273
834,840,1674,0.50179211469534
946,976,1922,0.507804370447451
863,873,1736,0.502880184331797
618,684,1302,0.525345622119816
684,742,1426,0.520336605890603
810,802,1612,0.497518610421836
952,970,1922,0.50468262226847
858,878,1736,0.505760368663594
916,944,1860,0.50752688172043
284,328,612,0.535947712418301
945,977,1922,0.508324661810614
