V1,V2,V3,V4
752,302,1054,0.286527514231499
1001,487,1488,0.327284946236559
1218,704,1922,0.366285119667014
8,10,18,0.555555555555556
702,284,986,0.288032454361055
1088,586,1674,0.350059737156511
642,276,918,0.300653594771242
726,328,1054,0.311195445920304
991,497,1488,0.334005376344086
883,405,1288,0.31444099378882
1098,576,1674,0.344086021505376
937,427,1364,0.313049853372434
1080,594,1674,0.354838709677419
35,21,56,0.375
1027,523,1550,0.33741935483871
866,374,1240,0.301612903225806
1090,584,1674,0.348864994026284
638,198,836,0.236842105263158
923,441,1364,0.323313782991202
1215,707,1922,0.367845993756504
761,355,1116,0.318100358422939
1213,709,1922,0.36888657648283
1242,680,1922,0.353798126951093
1224,698,1922,0.363163371488033
751,303,1054,0.287476280834915
1220,702,1922,0.365244536940687
1,1,2,0.5
794,322,1116,0.288530465949821
9,9,18,0.5
654,258,912,0.282894736842105
