V1,V2,V3,V4
552,564,1116,0.505376344086022
1000,922,1922,0.479708636836629
765,735,1500,0.49
311,301,612,0.491830065359477
1002,920,1922,0.478668054110302
1001,921,1922,0.479188345473465
603,513,1116,0.459677419354839
975,885,1860,0.475806451612903
520,534,1054,0.506641366223909
514,540,1054,0.512333965844402
781,707,1488,0.475134408602151
997,925,1922,0.481269510926119
678,618,1296,0.476851851851852
565,499,1064,0.468984962406015
563,529,1092,0.484432234432234
939,861,1800,0.478333333333333
757,669,1426,0.46914446002805
894,842,1736,0.485023041474654
939,859,1798,0.477753058954394
716,710,1426,0.497896213183731
604,512,1116,0.458781362007168
1000,922,1922,0.479708636836629
902,834,1736,0.480414746543779
520,524,1044,0.501915708812261
1004,918,1922,0.477627471383975
423,405,828,0.489130434782609
996,926,1922,0.481789802289282
698,666,1364,0.488269794721408
